192292,192292,58683,58683,58683,58683,66839,66839,62463,18717,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,14021,
76461,76461,122790,105432,107503,107503,106965,26377,26377,26377,18951,17107,17107,14218,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,6076,
280811,110541,127345,46532,46532,46532,46532,46532,32578,32578,32578,22055,22055,22055,22055,22055,22055,22055,22055,22055,22055,22055,22055,22055,22055,22055,22055,22055,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,
590972,92674,88099,55318,55318,55318,55318,40850,11591,9551,9551,9551,9551,9551,9551,9551,6980,6980,6980,6980,6980,6980,6980,6980,6980,6980,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,4981,
57946,57946,57946,57946,35834,35834,52552,52552,52552,39758,39758,32634,32634,32259,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,
268274,268274,104220,104220,39597,14423,14423,36433,36433,26971,26971,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,9956,
425922,150000,88258,81586,81586,17111,17111,17111,17111,17111,17111,17111,17111,17111,17111,15933,15933,15933,15933,15933,15933,15933,15933,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,11582,
324078,47087,47087,110963,56696,56696,38663,38663,38663,22185,20753,20753,20753,14872,14872,14872,14872,14872,14872,14872,14872,14872,14872,14872,14872,14872,14872,14872,14872,14619,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,13030,
185770,157365,112817,72379,72379,58709,35465,35465,23876,23876,23876,23876,23876,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,21430,
233811,96045,96045,32005,32005,32005,32005,32005,32005,32005,27387,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,
93608,93608,34995,34995,34995,34995,34995,34995,34995,22046,22046,22046,22046,22046,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,4509,
141803,36703,36703,15867,15867,15867,15867,15867,15867,11504,11504,11504,11504,11504,15867,11504,11504,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,
178388,125155,125155,56682,56682,45185,45185,45185,45185,45185,34353,29404,14296,14296,14296,14296,14296,5716,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,
321421,321421,101676,40558,40558,40558,40558,40558,40558,40558,19014,19014,19014,19014,11494,11494,11494,11494,6717,6717,6717,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,10931,
344696,242950,67598,32888,32888,32888,32888,30859,30859,30859,30859,18287,18287,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,15457,
240955,199219,102583,102583,97472,75356,71439,71439,17610,17610,17610,14480,14480,14480,14480,14480,14480,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,
182378,182378,34524,34524,34524,34524,34524,13072,13072,13072,13072,10972,4508,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,9788,
72384,72384,72384,54588,54588,54588,54588,43493,41786,37618,33336,9399,9399,9399,9399,9399,9399,9399,9399,9399,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,
362060,352927,77939,77939,77939,34921,34921,34921,34921,34921,34921,34921,18240,14090,14090,14090,14090,14090,14090,14090,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,9011,
173632,173632,72420,63109,48965,48965,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,10417,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,
